Qty,PartNo,Description,Package,MFPN,Value,Parts
1,ADA48411YRJZR7,IC OPAMP VFB 1 CIRCUIT SOT23-6,RJ_6-L,ADA48411YRJZR7,ADA4841-1YRJZ-R7RJ_6-L,U2
1,ADG839YKSZ-500RL7,IC SWITCH SPDT SC70-6,KS_6_ADI-L,ADG839YKSZ-500RL7,ADG839YKSZ-500RL7KS_6_ADI-L,U13
1,ATSAMD21G18A-MF,IC MCU 32BIT 256KB FLASH 48QFN,MICROBUILDER_TQFN48_7MM,ATSAMD21G18A-MF,ATSAMD21G18_QFN,U19
1,ATTINY817MFR,IC MCU 8BIT 8KB FLASH 24QFN,ATTINY817-MFRQFN24_RX4MC-L_QFN24_4X4MC,ATTINY817MFR,ATTINY817-MFRQFN24_RX4MC-L_ATTINY817-MFR,U17
1,BMI160,IMU ACCEL/GYRO I2C/SPI 14LGA,PQFN50P300X250X88-14N,BMI160,BMI160,U11
5,C0402C104K4RACTU,CAP CER 0.1UF 16V X7R 0402,C0402,C0402C104K4RACTU,0.1u,"C7, C13, C25, C47, C48"
3,C0402C105M8PACTU,CAP CER 1UF 10V X5R 0402,C0402,C0402C105M8PACTU,1u,"C1, C8, C14"
1,C0402C472K3RACTU,CAP CER 4700PF 25V X7R 0402,C0402,C0402C472K3RACTU,4.7n,C46
1,C0603C475K8PACTU,CAP CER 4.7UF 10V X5R 0603,C0603,C0603C475K8PACTU,4.7u,C12
1,C1005X7R1C104K050BC,CAP CER 0.1UF 16V X7R 0402,C0402,C1005X7R1C104K050BC,0.1u,C36
1,C1005X7S1A105K050BC,CAP CER 1UF 10V X7S 0402,C0402,C1005X7S1A105K050BC,1u,C42
1,CBR04C220F5GAC,CAP CER 22PF 50V C0G/NP0 0402,C0402-S,CBR04C220F5GAC,22p,C26
2,CBR04C559B5GAC,CAP CER RF 5.5PF 50V +/-0.1 PF C,C0402,CBR04C559B5GAC,5.5p,"C2, C4"
6,CC0402KRX5R5BB105,CAP CER 1UF 6.3V X5R 0402,C0402,CC0402KRX5R5BB105,1u,"C10, C17, C19, C21, C23, C29"
1,CC0402KRX5R5BB684,CAP CER 0.68UF 6.3V X5R 0402,C0402,CC0402KRX5R5BB684,0.68u,C6
